Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
hirsh_qa_min,Tree Ensembles,DecisionTree,0.7477546647344623,0.3530116933785133,0.5982753572586845,6889,10
hirsh_qa_min,Tree Ensembles,ExtraTrees,0.8054583265375246,0.34066649219938455,0.5254070145889904,6889,10
hirsh_qa_min,Tree Ensembles,HistGradientBoosting,0.7850967588871729,0.32189463175831895,0.5522185937621585,6889,10
hirsh_qa_min,Neural,MLP(100),0.7522223688281348,0.41378031940934107,0.59295343772114,6889,10
hirsh_qa_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.5400225440447795,0.5514214652356841,0.8079003874634995,6889,10
hirsh_qh_min,Linear/Regularized,Linear Regression,0.23602889439821984,0.8297907192644932,1.0411852561846346,6889,10
hirsh_qh_min,Linear/Regularized,RidgeCV,0.23606657366365924,0.8298803862280897,1.0411595800961768,6889,10
hirsh_qh_min,Linear/Regularized,LassoCV,0.23185900467683973,0.8340703037695354,1.044022876243651,6889,10
hirsh_qh_min,Linear/Regularized,ElasticNetCV,0.22986807794943964,0.834909046481818,1.0453749899521645,6889,10
hirsh_qh_min,Linear/Regularized,BayesianRidge,0.23605975831363535,0.8302045327828372,1.0411642243825099,6889,10
hirsh_qh_min,Kernel/Neighbors,LinearSVR,0.2286326125107977,0.8060210346421173,1.0462131626562985,6889,10
hirsh_qh_min,Kernel/Neighbors,SVR_RBF,0.7676164198227582,0.42133083605938426,0.5742384412476513,6889,10
hirsh_qh_min,Kernel/Neighbors,SVR_Poly3,-0.5782878393901978,0.9475087421490306,1.4965204233087286,6889,10
hirsh_qh_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.4834121981500803,0.5508550877183731,0.8561731745014545,6889,10
hirsh_qh_min,Kernel/Neighbors,"kNN(k=5,dist)",0.7786216922506886,0.39932379590386785,0.5604760698157489,6889,10
hirsh_qh_min,Tree Ensembles,RandomForest,0.7873269135561389,0.36713367832945804,0.549345801783383,6889,10
hirsh_qh_min,Tree Ensembles,GradientBoosting,0.7956665397741473,0.3872093853344262,0.5384672418204179,6889,10
hirsh_qh_min,Tree Ensembles,DecisionTree,0.749678519594742,0.40182985856303566,0.5959894914004367,6889,10
hirsh_qh_min,Tree Ensembles,ExtraTrees,0.7813916339139352,0.3950269205395299,0.5569586228514183,6889,10
hirsh_qh_min,Tree Ensembles,HistGradientBoosting,0.7693317575331823,0.39174913519438836,0.5721151472773075,6889,10
hirsh_qh_min,Neural,MLP(100),0.7987233723851174,0.3991776293138472,0.5344243240100377,6889,10
hirsh_qh_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.4135398400143192,0.618018876436526,0.9122393465370091,6889,10
hirsh_qcm5a_min,Linear/Regularized,Linear Regression,0.23476669715694853,0.8169865199571154,1.0420449999558263,6889,10
hirsh_qcm5a_min,Linear/Regularized,RidgeCV,0.23478583935851893,0.817080808574068,1.042031966571037,6889,10
hirsh_qcm5a_min,Linear/Regularized,LassoCV,0.23975556369957318,0.8198113522998576,1.0386426884428268,6889,10
hirsh_qcm5a_min,Linear/Regularized,ElasticNetCV,0.23896297524467813,0.8205618763971162,1.0391839628779085,6889,10
hirsh_qcm5a_min,Linear/Regularized,BayesianRidge,0.234702252476776,0.8174576591097321,1.042088877321524,6889,10
hirsh_qcm5a_min,Kernel/Neighbors,LinearSVR,0.20351209716300767,0.8146766651600315,1.0631122806903903,6889,10
hirsh_qcm5a_min,Kernel/Neighbors,SVR_RBF,0.733781550539101,0.4281241129911498,0.6146227306639807,6889,10
hirsh_qcm5a_min,Kernel/Neighbors,SVR_Poly3,-19.671764961058788,1.6713623220142,5.415995840742017,6889,10
hirsh_qcm5a_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.42391807568012585,0.4901056870837632,0.9041316393008693,6889,10
hirsh_qcm5a_min,Kernel/Neighbors,"kNN(k=5,dist)",0.8391326264602872,0.356834409683297,0.47777511815058216,6889,10
hirsh_qcm5a_min,Tree Ensembles,RandomForest,0.8064214843346812,0.3994599617283779,0.5241047800585257,6889,10
hirsh_qcm5a_min,Tree Ensembles,GradientBoosting,0.7738688141340684,0.440872947826999,0.566460684856989,6889,10
hirsh_qcm5a_min,Tree Ensembles,DecisionTree,0.7443453671193099,0.44371402162119805,0.6023048725958361,6889,10
hirsh_qcm5a_min,Tree Ensembles,ExtraTrees,0.8654625990992185,0.3393976554195599,0.43692918999150593,6889,10
hirsh_qcm5a_min,Tree Ensembles,HistGradientBoosting,0.7689007613508128,0.43766062159874963,0.5726493872050924,6889,10
hirsh_qcm5a_min,Neural,MLP(100),0.7524670055074818,0.4468977671074706,0.5926606470001929,6889,10
hirsh_qcm5a_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.662472195097899,0.48277133450869264,0.6920609115683112,6889,10
hirsh_qcm5h_min,Linear/Regularized,Linear Regression,0.2514703255901425,0.8250092908391627,1.0306092925109172,6889,10
hirsh_qcm5h_min,Linear/Regularized,RidgeCV,0.251497388472229,0.8250972951730248,1.0305906616464244,6889,10
hirsh_qcm5h_min,Linear/Regularized,LassoCV,0.2489745385932941,0.8254086032446146,1.032326018547604,6889,10
hirsh_qcm5h_min,Linear/Regularized,ElasticNetCV,0.2504921579619024,0.8308083475988678,1.0312824652329606,6889,10
hirsh_qcm5h_min,Linear/Regularized,BayesianRidge,0.25146614206179596,0.8253939408054345,1.0306121725418047,6889,10
hirsh_qcm5h_min,Kernel/Neighbors,LinearSVR,0.22855757412954902,0.805976181451184,1.0462640490654658,6889,10
hirsh_qcm5h_min,Kernel/Neighbors,SVR_RBF,0.8545385725741403,0.29442559399359924,0.45432168402956263,6889,10
hirsh_qcm5h_min,Kernel/Neighbors,SVR_Poly3,0.08646617169378701,0.8098768662645119,1.1385493506769577,6889,10
hirsh_qcm5h_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.8103590554446543,0.31842257873103735,0.518746999657653,6889,10
hirsh_qcm5h_min,Kernel/Neighbors,"kNN(k=5,dist)",0.9091657868100103,0.2568050058346763,0.35901638721184254,6889,10
hirsh_qcm5h_min,Tree Ensembles,RandomForest,0.9463505407507545,0.1943946139916737,0.2759130343780171,6889,10
hirsh_qcm5h_min,Tree Ensembles,GradientBoosting,0.9317020928206144,0.23433708795012034,0.3113101215066727,6889,10
hirsh_qcm5h_min,Tree Ensembles,DecisionTree,0.927960313350443,0.2303383808953198,0.31972415667130893,6889,10
hirsh_qcm5h_min,Tree Ensembles,ExtraTrees,0.9416229502528208,0.2074661941041046,0.28781313787726137,6889,10
hirsh_qcm5h_min,Tree Ensembles,HistGradientBoosting,0.9460505868441133,0.2004034524696659,0.2766832735993927,6889,10
hirsh_qcm5h_min,Neural,MLP(100),0.9295098837162628,0.23963253667888212,0.316266837917385,6889,10
hirsh_qcm5h_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.7688024571882391,0.33493118552950774,0.5727711700234694,6889,10
homo_boltz,Linear/Regularized,Linear Regression,0.2578631299877917,0.8216201207881394,1.0261989054261216,6889,10
homo_boltz,Linear/Regularized,RidgeCV,0.25788636418327726,0.8217079592334563,1.0261828416152834,6889,10
