Descriptor,Model,Train_Fraction,Train_Percent,Repeat,Fold,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train_full,n_train_used,n_test
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,7,C19,0.9935092724287812,0.07078095940583176,0.10131910340751743,0.9152588561669611,0.3031086061371702,0.3877367206379633,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,8,C2,0.9974636173052943,0.042998107316396514,0.05884231535261228,0.936933279050979,0.19630932838595458,0.2592042247224789,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,9,C3,0.9981756429692502,0.043691414048959896,0.0568636898513504,0.8698374307544811,0.23169291212865856,0.32263591950604764,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,3,10,C4,0.9863814565087532,0.0869620604675634,0.11826409935626207,0.7334770260937764,0.4409574901442976,0.5222028988962145,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,1,C1,0.9817757410158274,0.10813680114456548,0.14376656178062497,0.8649812419628231,0.3104549304449298,0.3843773982037209,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,2,C12,0.9959068603494935,0.04978335225507414,0.06612352714445842,0.9307864776400873,0.3037638787173542,0.38495459975348023,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,3,C13,0.9939877853288407,0.07584154118278456,0.09695873050310172,0.9182194061824422,0.31449288431680394,0.39761022207525865,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,4,C14,0.988670059866388,0.0875864158604762,0.11827953725508367,0.8448564741716358,0.3292917114727182,0.42834826041878227,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,5,C17,0.9959778803428436,0.05199554613707372,0.0693198042195272,0.9299676606947215,0.19727903567260427,0.2680121862945976,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,6,C18,0.9949325686921789,0.059984200518448785,0.08030287255331488,0.9433974582352836,0.2855685439516109,0.36485194974298346,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,7,C19,0.9971076765748217,0.04930055499277971,0.06610606474497456,0.9450487968867196,0.2495190066285707,0.3122326928559553,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,8,C2,0.9964172569987043,0.047335503237964115,0.06126590426873214,0.9355798175940055,0.2020020512206563,0.26197082348160733,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,9,C3,0.9909807256885511,0.08462017762615057,0.11198854134999563,0.9141268192886555,0.20197494702846844,0.26205861100268507,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,4,10,C4,0.9898908191033022,0.09050162885607062,0.12037229854374938,0.6309512115314355,0.5128689565727779,0.6144886209695599,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,1,C1,0.9905506799608822,0.09801467767994275,0.12391652367145174,0.8695370527602192,0.31239264516935683,0.37783691011379983,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,2,C12,0.9956199593069588,0.05470396544913332,0.07365614976998691,0.9329114968242607,0.30153858691259766,0.3789990214883256,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,3,C13,0.9885871922486402,0.091925808209127,0.12114267366153451,0.907615696786722,0.3467183527809195,0.422601958107525,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,4,C14,0.9915862166943622,0.08252907128884308,0.10734346261597648,0.8821376460697838,0.31094176504508464,0.37335135703797223,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,5,C17,0.9945885632873703,0.06684126679655442,0.0867639559247856,0.9514932875092091,0.1703463036065321,0.2230520122659316,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,6,C18,0.9874078241601371,0.08261656797500289,0.10615921439734095,0.9390272507820075,0.2947804908319125,0.3786749644056848,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,7,C19,0.9971907412261976,0.0440884461709916,0.05919438082613344,0.9549341944964173,0.22477678396497763,0.2827569842021073,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,8,C2,0.9910581244113605,0.08991437508034296,0.12269660649859332,0.95560054161354,0.1637622911999228,0.21748573986226027,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,9,C3,0.9962586638155535,0.05676621208058733,0.07789369806709956,0.9261908853748008,0.17252955152609672,0.24295433808059194,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,5,10,C4,0.9937886793807988,0.07487365115131572,0.09732499380200765,0.5394777154936086,0.6014003346328105,0.6864316160945418,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,1,C1,0.9810945338675405,0.11694442028483538,0.14767473456321467,0.8880619714950011,0.2880974093931329,0.34998514817077037,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,2,C12,0.9890649101518019,0.08716037795083607,0.1185971548772876,0.9406051945788994,0.28054672211743403,0.35660569079953536,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,3,C13,0.9999999999998912,2.716470484076741e-07,3.8166164786412314e-07,0.9141095588235254,0.3179582087544718,0.40747862120713785,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,4,C14,0.9813371236250892,0.11038461687038786,0.14635114386345044,0.8451910262618455,0.37435745194641223,0.4278861652579874,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,5,C17,0.9889740154452679,0.08590614104416326,0.11925948386777162,0.9168351360121955,0.2135737610446931,0.29206207444784754,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,6,C18,0.9985349369228051,0.03195402364507569,0.044269446598097124,0.9377165581192476,0.29254680154780854,0.3827233916841457,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,7,C19,0.9907028851011348,0.07763514292668505,0.1043715733197509,0.9281667178478961,0.26506910930419714,0.35698718572373156,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,8,C2,0.987538098595233,0.10273547875032042,0.1359853552281975,0.9523531084736525,0.18105937311835482,0.22529898567318057,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,9,C3,0.9916771887654345,0.08842260304899043,0.11146847050268789,0.8909023027481726,0.21184445559011073,0.2953775283542628,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,6,10,C4,0.9994035581099256,0.020730298495182507,0.02805719600390579,0.6264964048342753,0.5271156259454534,0.6181862575517526,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,1,C1,0.9942406771584699,0.0679151362310893,0.08706427294989318,0.899470617872519,0.26194315253959244,0.331670843304696,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,2,C12,0.9870787817022539,0.09879994108605951,0.13295056879674014,0.9444960791391673,0.2752926505733682,0.34472745183354775,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,3,C13,0.9830167158743512,0.11584730449886992,0.15130092345537535,0.9238889396903691,0.30658973204682255,0.38358030248600955,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,4,C14,0.9894286713913159,0.0886867696185268,0.11777384911956854,0.717727169849613,0.506586099652571,0.5777829444541579,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,5,C17,0.9848023513024313,0.1162764768011409,0.15482893327515948,0.9462532978897016,0.17406806831380148,0.23479083231213105,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,6,C18,0.9983250829273136,0.03837978766775268,0.05305029552820584,0.9394222225365134,0.28011885061889263,0.3774464736393088,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,7,C19,0.9899822098763529,0.0804876907512147,0.11052446481263943,0.9369970349373994,0.26597043572674256,0.3343260878091623,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,8,C2,0.9932067478993519,0.07258357651496473,0.09420086171088855,0.9274042639846015,0.2104096349272205,0.2780977700989241,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,9,C3,0.9943883878021895,0.07820581703696922,0.09835148536925874,0.8770951356735288,0.23316697330145633,0.31351201980539917,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,7,10,C4,0.9905112983738239,0.08963084979982999,0.1161459022863258,0.7533651566835928,0.4187178051900572,0.5023416281604288,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,1,C1,0.9879200668947834,0.09168545567343467,0.115648744096506,0.864634582322469,0.3156424409402417,0.3848705249136179,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,2,C12,0.9839573868810259,0.10214185658475948,0.14268031287397095,0.9463553981552708,0.27114095985358383,0.33890427773627246,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,3,C13,0.9961504759992826,0.05727235016311304,0.0761524004852923,0.9313218446532112,0.28935908018277107,0.3643692528526944,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,4,C14,0.9990601168387765,0.025917786780387992,0.0360690956993236,0.5477905159282164,0.6314855305133767,0.7313074743828079,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,5,C17,0.9958895999751195,0.06768276258692969,0.08420936311345073,0.9238895170640988,0.20790259346570586,0.27940068311431,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,6,C18,0.9853267730620793,0.10234671976452847,0.1330934996587634,0.9448713733337976,0.28137977227843575,0.3600702923924634,6285,126,604
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,7,C19,0.9971015856846451,0.04830436277845722,0.06226920389073182,0.9421631091801758,0.2471542706719598,0.32032603721450287,6206,125,683
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,8,C2,0.9997635390963775,0.011776423989157278,0.015583823822562902,0.9371630642245303,0.20465775542466158,0.25873158527660106,6147,123,742
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,9,C3,0.993210483829507,0.064255519133877,0.08550339674381024,0.8376664991220442,0.2667749201225146,0.36030786106097795,5729,115,1160
dg_ch3,GPR[Matern_1.5 + White],0.02,2,8,10,C4,0.9890899901209164,0.09081878562378352,0.1182246515931658,0.4778411613255661,0.6302201762223808,0.7309257633933338,6340,127,549
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,1,C1,0.9815208408755453,0.12257979465209387,0.15923596678434848,0.8795743500788139,0.2970257369709214,0.36301142001432407,6048,121,841
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,2,C12,0.9891237534159066,0.0968000553102425,0.12673981230359774,0.9167347309104952,0.3325651201210332,0.42222698146317295,6210,125,679
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,3,C13,0.9868646991103562,0.10753394820780052,0.13962075604943858,0.8804115268022108,0.39339496742774244,0.48081396364676715,6483,130,406
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,4,C14,0.9840953080357496,0.11122330205911017,0.15083331678120068,0.9406844590655705,0.19301149907085613,0.2648588119425056,6471,130,418
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,5,C17,0.9905408162696697,0.07696787865336595,0.1072537519342906,0.9298737330449436,0.2033691385494681,0.26819185557232705,6082,122,807
dg_ch3,GPR[Matern_1.5 + White],0.02,2,9,6,C18,0.984518725536635,0.10582299158930683,0.13782117706479877,0.9293686716144276,0.33396246388470197,0.407565478724294,6285,126,604
