descriptor,model,group,fold_idx,n_train,n_test,r2_fold,mae_fold,rmse_fold,best_score_inner,best_params_inner
nbo_boltz,MLP(100),C14,4,6471,418,0.8675422725617218,0.312621200617071,0.39579365596831445,0.9275534317355939,"{""model__activation"": ""tanh"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C17,5,6082,807,0.966186614082996,0.14502798661497712,0.18622996231265201,0.9032710780308919,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C18,6,6285,604,0.9650575324604844,0.22327340293214193,0.2866655400480362,0.9026661629542847,"{""model__activation"": ""relu"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C19,7,6206,683,0.9739598854318476,0.16260032028306906,0.21493701702275078,0.9024034618375925,"{""model__activation"": ""relu"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.01}"
nbo_boltz,MLP(100),C2,8,6147,742,0.9474640714867703,0.19152995008947862,0.2365757122780241,0.913967810573526,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.001}"
nbo_boltz,MLP(100),C3,9,5729,1160,0.8051375739529639,0.3323188511942583,0.3947605203395701,0.9486228635297135,"{""model__activation"": ""tanh"", ""model__alpha"": 0.001, ""model__learning_rate_init"": 0.01}"
nbo_boltz,MLP(100),C4,10,6340,549,0.48410766671699257,0.61620259355155,0.7265265505986478,0.9488292954690116,"{""model__activation"": ""tanh"", ""model__alpha"": 0.0001, ""model__learning_rate_init"": 0.01}"
dg_ch3,RandomForest,C1,1,6048,841,0.9111919567690185,0.25505846413819483,0.31173598591063406,0.9403002308486835,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C12,2,6210,679,0.9859313477495989,0.13134106878493965,0.17355626083475637,0.9195170227991785,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C13,3,6483,406,0.9705447467704744,0.16883271583231593,0.23862381877762587,0.9194105441783149,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C14,4,6471,418,0.9136072101776317,0.26404571410513256,0.3196457454511549,0.9296494931977138,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C17,5,6082,807,0.9851407392794533,0.09099652022209667,0.1234536191659558,0.9222220119036708,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}"
dg_ch3,RandomForest,C18,6,6285,604,0.9761206507937092,0.17694661389983482,0.23697904655003532,0.922917463267243,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C19,7,6206,683,0.9737449946911453,0.1548668828856751,0.21582205684505498,0.9234085925393734,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C2,8,6147,742,0.9877863350965901,0.08832267478725084,0.11406829507058304,0.927244718881024,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C3,9,5729,1160,0.9172686758864119,0.19676829576565785,0.2572199489871505,0.9260832147720258,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
dg_ch3,RandomForest,C4,10,6340,549,0.5825924797948167,0.5732595067372542,0.6535097745853541,0.955203324426823,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C1,1,6048,841,0.9212082856609112,0.23831973757282937,0.2936304314854989,0.9433991178797552,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}"
nbo_boltz,RandomForest,C12,2,6210,679,0.9789159993488,0.1595848042126498,0.2124665412180961,0.9263119051214733,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
