parameter,Family,Model,R2(test),MAE(test),RMSE(test),R2(train),MAE(train),RMSE(train)
dg_nh3,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9525507521729495,0.17657139274985378,0.26007641030985246,0.9636266499984474,0.15145436515195843,0.2269843856736725
dg_ch3,Linear/Regularized,Linear Regression,0.30116843681401184,0.8058821248016517,0.9980965444939978,0.3063170822385156,0.7974985646217896,0.9912537245108977
dg_ch3,Linear/Regularized,RidgeCV,0.30122175254432126,0.8060041559060117,0.9980584700394401,0.3063146351996059,0.797628921721873,0.9912554728848535
dg_ch3,Linear/Regularized,LassoCV,0.30116871229898057,0.8058829389508687,0.9980963477651744,0.30631708212591324,0.7974993264917649,0.9912537245913505
dg_ch3,Linear/Regularized,ElasticNetCV,0.3011941727064755,0.805940505232469,0.9980781658580088,0.30631652185651204,0.7975600122798391,0.9912541248960173
dg_ch3,Linear/Regularized,BayesianRidge,0.301315807889295,0.8062615823609589,0.9979912985919397,0.3062939213909033,0.7979094650690377,0.9912702724784487
dg_ch3,Kernel/Neighbors,LinearSVR,0.2703666152601434,0.7934823227425619,1.019855505315276,0.2745613881879865,0.7831506813400386,1.0136888414308431
dg_ch3,Kernel/Neighbors,SVR_RBF,0.9683563637516146,0.15427028392356076,0.21238776159969422,0.9707903887009658,0.1496886753735153,0.20340762127186404
dg_ch3,Kernel/Neighbors,SVR_Poly3,0.5489607761062536,0.615924284771109,0.8018505873634095,0.5065855133277272,0.6192329327293937,0.8360077053625149
dg_ch3,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9714165204393344,0.14859274547469162,0.20185701368887227,0.9743595654973211,0.14230766129091665,0.19057548004338637
dg_ch3,Kernel/Neighbors,"kNN(k=5,dist)",0.9574267918704894,0.1798346099093154,0.24635108820002863,1.0,0.0,0.0
dg_ch3,Tree Ensembles,RandomForest,0.9930014262333825,0.06855064969836577,0.09988288278395446,0.9989934352329088,0.02556254399288819,0.03775940954564118
dg_ch3,Tree Ensembles,GradientBoosting,0.969537981588449,0.15613575695948922,0.2083846064892729,0.9730912428731757,0.1478202966382618,0.19523206665538387
dg_ch3,Tree Ensembles,DecisionTree,0.9882813117068703,0.08679235215625287,0.12924858504311704,1.0,0.0,0.0
dg_ch3,Tree Ensembles,ExtraTrees,0.9935043386900798,0.0647358809614444,0.09622722951955771,1.0,2.1007637985000825e-14,2.5720359489990193e-14
dg_ch3,Tree Ensembles,HistGradientBoosting,0.991301954874805,0.07785027058189221,0.11135176986781908,0.993619230518797,0.0670842804721511,0.0950694233582073
dg_ch3,Neural,MLP(100),0.9718639869218332,0.14678213264180273,0.20027077324655293,0.9737867992548818,0.14175133264722792,0.19269229925157733
dg_ch3,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9795657585956272,0.12766664377139372,0.1706732882764052,0.9847521669218606,0.1084061688116467,0.14696313125864288
dg_h2o,Linear/Regularized,Linear Regression,0.2907660871209625,0.8105878001211203,1.0054976106326856,0.2981869852815191,0.7967030984564258,0.99704564530763
dg_h2o,Linear/Regularized,RidgeCV,0.2908201398897684,0.8106722174516454,1.0054592939613616,0.29818477217233696,0.7968232655658294,0.997047217356799
dg_h2o,Linear/Regularized,LassoCV,0.290766380806074,0.8105883590880854,1.0054974024505168,0.2981869851698288,0.7967038489336898,0.9970456453869677
dg_h2o,Linear/Regularized,ElasticNetCV,0.29079217035150173,0.8106276159720082,1.0054791210577763,0.2981864756657455,0.7967602494144775,0.9970460073058296
dg_h2o,Linear/Regularized,BayesianRidge,0.29093171761087444,0.8108898896328868,1.005380194655227,0.29816102796186483,0.7971225366283159,0.9970640835473612
dg_h2o,Kernel/Neighbors,LinearSVR,0.2646027138973255,0.79779814933959,1.0238758688039438,0.26956121153332124,0.7850331979297481,1.0171763310256208
dg_h2o,Kernel/Neighbors,SVR_RBF,0.926975621802416,0.2050019551495647,0.3226415013202247,0.9251414572967921,0.20359206043448005,0.32563045519290057
dg_h2o,Kernel/Neighbors,SVR_Poly3,0.5271600581501299,0.6401144958194414,0.8210004093778012,0.4944999844497523,0.6398775965916631,0.8461842134586728
dg_h2o,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9329063479764006,0.20461726646479805,0.3092623217722379,0.9324092352184029,0.2028061763399573,0.30941973681840584
dg_h2o,Kernel/Neighbors,"kNN(k=5,dist)",0.9314938243739422,0.22589640582678322,0.3125008175394655,1.0,0.0,0.0
dg_h2o,Tree Ensembles,RandomForest,0.992064014524533,0.07145710461922923,0.1063620570910137,0.9987093776663737,0.0275559049683612,0.04275667456202205
dg_h2o,Tree Ensembles,GradientBoosting,0.9676896175233394,0.15770988840008904,0.2146136523591932,0.9705490986182403,0.1509020388694361,0.20424603194437788
dg_h2o,Tree Ensembles,DecisionTree,0.9883041959244487,0.08717858557324652,0.12912232525823328,1.0,0.0,0.0
dg_h2o,Tree Ensembles,ExtraTrees,0.9937055199507354,0.06338910345665569,0.09472535176803297,1.0,2.1007637985000825e-14,2.5720359489990193e-14
dg_h2o,Tree Ensembles,HistGradientBoosting,0.9917505883686757,0.0759625595368954,0.10844206609427959,0.9937515257415309,0.06575644521632329,0.09407870369915436
dg_h2o,Neural,MLP(100),0.9430736486416432,0.1902352450527344,0.2848675435062616,0.9419933974489711,0.18853305853886154,0.28664412629190905
dg_h2o,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9509340653011089,0.17858682780398927,0.2644699507202581,0.961119243391602,0.15619328881744807,0.23467762584520122
lgK_hydration,Linear/Regularized,Linear Regression,0.2793858121452506,0.8132322689044246,1.013532548847965,0.2884571105051914,0.7987348545547132,1.0039333320901787
lgK_hydration,Linear/Regularized,RidgeCV,0.27943393010707973,0.8133094504397841,1.0134987097038926,0.2884549889275235,0.7988484907138732,1.0039348287820726
lgK_hydration,Linear/Regularized,LassoCV,0.27938606237226427,0.8132328192339774,1.0135323728777654,0.28845711039386757,0.7987355462961712,1.0039333321687134
lgK_hydration,Linear/Regularized,ElasticNetCV,0.27940901514851135,0.8132688856510013,1.013516231386596,0.2884566207824193,0.7987883874576279,1.0039336775710606
lgK_hydration,Linear/Regularized,BayesianRidge,0.27953948744048074,0.8135343832908078,1.0134244721398613,0.2884289814646691,0.799162864081985,1.003953175871001
lgK_hydration,Kernel/Neighbors,LinearSVR,0.25137383861256823,0.8009095354841324,1.033043943708302,0.2579976170773266,0.7865817985982577,1.0251961868073542
lgK_hydration,Kernel/Neighbors,SVR_RBF,0.9366353220066774,0.1958827844028254,0.30054528020661736,0.9397896091302872,0.1895246565815776,0.2920384639096797
lgK_hydration,Kernel/Neighbors,SVR_Poly3,0.5196365639373646,0.6538955478762063,0.8275062210164261,0.4891368529735295,0.6544079380705397,0.8506611901335766
lgK_hydration,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9459712119072355,0.19317463980222702,0.27752295370067553,0.950646087789012,0.18416195624526552,0.26440223643258814
lgK_hydration,Kernel/Neighbors,"kNN(k=5,dist)",0.9434322694695448,0.19836153150465827,0.2839688310914589,1.0,0.0,0.0
lgK_hydration,Tree Ensembles,RandomForest,0.9928979727943711,0.0693107524888074,0.10061841269962717,0.9989440143945189,0.02600029609386042,0.03867526795086273
lgK_hydration,Tree Ensembles,GradientBoosting,0.967933496797627,0.1602405918815763,0.21380216456906923,0.9720594878295594,0.14935115614064173,0.19893972513353558
lgK_hydration,Tree Ensembles,DecisionTree,0.9885116712356189,0.0870697222850431,0.12797193116735664,1.0,0.0,0.0
lgK_hydration,Tree Ensembles,ExtraTrees,0.9931771025708458,0.06566076393543241,0.09862129870066316,1.0,2.1007637985000825e-14,2.5720359489990193e-14
lgK_hydration,Tree Ensembles,HistGradientBoosting,0.9917868606589761,0.07636684871737268,0.10820339601683021,0.9939074254518531,0.06540697935047855,0.09289765645278401
lgK_hydration,Neural,MLP(100),0.9657175087436516,0.1595492671731145,0.22106626972060864,0.9693165369230782,0.15305277636803788,0.20847621780196587
lgK_hydration,Gaussian Process,GPR_C*(RBF+White)_fixed,0.972039935799734,0.14754949654104793,0.19964359341022303,0.9791172592815817,0.12480185377364764,0.17198797389041923
